Board Stocks,Board I,Board II,Board III,Board Noble,BoardUpsiteDownI,BoardUpsiteDownII,BoardUpsiteDownIII,BoardUpsiteDownNoble,1 Score,1 Stocks,1 Stocks Const,1 Open,1 Noble,1 Upsite Down,2 Score,2 Stocks,2 Stocks Const,2 Open,2 Noble,2 Upsite Down,3 Score,3 Stocks,3 Stocks Const,3 Open,3 Noble,3 Upsite Down,4 Score,4 Stocks,4 Stocks Const,4 Open,4 Noble,4 Upsite Down,Turn
"{'red': 5, 'blue': 5, 'green': 6, 'white': 6, 'black': 7, 'auto_color': 3}","['I_39', 'I_36', 'I_5', 'I_33']","['II_8', 'II_23', 'II_21', 'II_18']","['III_10', 'III_7', 'III_20', 'III_14']","['Noble_7', 'Noble_3', 'Noble_6', 'Noble_1', 'Noble_9']","['I_16', 'I_30', 'I_10', 'I_31', 'I_37', 'I_2', 'I_14', 'I_3', 'I_23', 'I_21', 'I_20', 'I_32', 'I_17', 'I_18', 'I_40', 'I_15', 'I_27', 'I_19', 'I_34', 'I_13', 'I_29', 'I_8', 'I_9', 'I_38', 'I_22', 'I_26', 'I_6', 'I_1', 'I_25', 'I_4', 'I_35', 'I_12', 'I_24', 'I_28', 'I_11']","['II_3', 'II_4', 'II_20', 'II_29', 'II_30', 'II_28', 'II_15', 'II_11', 'II_19', 'II_22', 'II_10', 'II_2', 'II_27', 'II_5', 'II_17', 'II_6', 'II_7', 'II_14', 'II_1', 'II_25', 'II_16', 'II_26', 'II_13', 'II_24', 'II_9', 'II_12']","['III_17', 'III_5', 'III_1', 'III_11', 'III_6', 'III_19', 'III_4', 'III_18', 'III_16', 'III_3', 'III_15', 'III_2', 'III_8', 'III_9', 'III_12']","['Noble_5', 'Noble_4', 'Noble_8', 'Noble_10', 'Noble_2']",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['I_7'],0,"{'red': 1, 'blue': 1, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 1, 'blue': 1, 'green': 0, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['III_13'],1
"{'red': 5, 'blue': 3, 'green': 5, 'white': 5, 'black': 4, 'auto_color': 2}","['I_39', 'I_36', 'I_5', 'I_33']","['II_8', 'II_23', 'II_21', 'II_18']","['III_10', 'III_7', 'III_17', 'III_14']","['Noble_7', 'Noble_3', 'Noble_6', 'Noble_1', 'Noble_9']","['I_16', 'I_30', 'I_10', 'I_31', 'I_37', 'I_2', 'I_14', 'I_3', 'I_23', 'I_21', 'I_20', 'I_32', 'I_17', 'I_18', 'I_40', 'I_15', 'I_27', 'I_19', 'I_34', 'I_13', 'I_29', 'I_8', 'I_9', 'I_38', 'I_22', 'I_26', 'I_6', 'I_1', 'I_25', 'I_4', 'I_35', 'I_12', 'I_24', 'I_28', 'I_11']","['II_3', 'II_4', 'II_20', 'II_29', 'II_30', 'II_28', 'II_15', 'II_11', 'II_19', 'II_22', 'II_10', 'II_2', 'II_27', 'II_5', 'II_17', 'II_6', 'II_7', 'II_14', 'II_1', 'II_25', 'II_16', 'II_26', 'II_13', 'II_24', 'II_9', 'II_12']","['III_5', 'III_1', 'III_11', 'III_6', 'III_19', 'III_4', 'III_18', 'III_16', 'III_3', 'III_15', 'III_2', 'III_8', 'III_9', 'III_12']","['Noble_5', 'Noble_4', 'Noble_8', 'Noble_10', 'Noble_2']",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 2, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['I_7'],0,"{'red': 1, 'blue': 1, 'green': 2, 'white': 1, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 1, 'blue': 3, 'green': 0, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"['III_13', 'III_20']",2
"{'red': 4, 'blue': 3, 'green': 7, 'white': 3, 'black': 2, 'auto_color': 2}","['I_39', 'I_36', 'I_5', 'I_16']","['II_8', 'II_23', 'II_21', 'II_18']","['III_10', 'III_7', 'III_17', 'III_14']","['Noble_7', 'Noble_3', 'Noble_6', 'Noble_1', 'Noble_9']","['I_30', 'I_10', 'I_31', 'I_37', 'I_2', 'I_14', 'I_3', 'I_23', 'I_21', 'I_20', 'I_32', 'I_17', 'I_18', 'I_40', 'I_15', 'I_27', 'I_19', 'I_34', 'I_13', 'I_29', 'I_8', 'I_9', 'I_38', 'I_22', 'I_26', 'I_6', 'I_1', 'I_25', 'I_4', 'I_35', 'I_12', 'I_24', 'I_28', 'I_11']","['II_3', 'II_4', 'II_20', 'II_29', 'II_30', 'II_28', 'II_15', 'II_11', 'II_19', 'II_22', 'II_10', 'II_2', 'II_27', 'II_5', 'II_17', 'II_6', 'II_7', 'II_14', 'II_1', 'II_25', 'II_16', 'II_26', 'II_13', 'II_24', 'II_9', 'II_12']","['III_5', 'III_1', 'III_11', 'III_6', 'III_19', 'III_4', 'III_18', 'III_16', 'III_3', 'III_15', 'III_2', 'III_8', 'III_9', 'III_12']","['Noble_5', 'Noble_4', 'Noble_8', 'Noble_10', 'Noble_2']",0,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 4, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],['I_7'],0,"{'red': 0, 'blue': 1, 'green': 0, 'white': 1, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['I_33'],[],[],0,"{'red': 1, 'blue': 3, 'green': 0, 'white': 3, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],[],0,"{'red': 2, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"['III_13', 'III_20']",3
"{'red': 2, 'blue': 4, 'green': 6, 'white': 5, 'black': 6, 'auto_color': 2}","['I_39', 'I_30', 'I_5', 'I_16']","['II_8', 'II_23', 'II_21', 'II_18']","['III_10', 'III_7', 'III_17', 'III_14']","['Noble_7', 'Noble_3', 'Noble_6', 'Noble_1', 'Noble_9']","['I_10', 'I_31', 'I_37', 'I_2', 'I_14', 'I_3', 'I_23', 'I_21', 'I_20', 'I_32', 'I_17', 'I_18', 'I_40', 'I_15', 'I_27', 'I_19', 'I_34', 'I_13', 'I_29', 'I_8', 'I_9', 'I_38', 'I_22', 'I_26', 'I_6', 'I_1', 'I_25', 'I_4', 'I_35', 'I_12', 'I_24', 'I_28', 'I_11']","['II_3', 'II_4', 'II_20', 'II_29', 'II_30', 'II_28', 'II_15', 'II_11', 'II_19', 'II_22', 'II_10', 'II_2', 'II_27', 'II_5', 'II_17', 'II_6', 'II_7', 'II_14', 'II_1', 'II_25', 'II_16', 'II_26', 'II_13', 'II_24', 'II_9', 'II_12']","['III_5', 'III_1', 'III_11', 'III_6', 'III_19', 'III_4', 'III_18', 'III_16', 'III_3', 'III_15', 'III_2', 'III_8', 'III_9', 'III_12']","['Noble_5', 'Noble_4', 'Noble_8', 'Noble_10', 'Noble_2']",1,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 0}",['I_7'],[],[],0,"{'red': 1, 'blue': 2, 'green': 1, 'white': 1, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['I_33'],[],[],0,"{'red': 0, 'blue': 1, 'green': 0, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['I_36'],[],[],0,"{'red': 4, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"['III_13', 'III_20']",4
"{'red': 0, 'blue': 3, 'green': 4, 'white': 3, 'black': 4, 'auto_color': 1}","['I_39', 'I_30', 'I_5', 'I_10']","['II_8', 'II_23', 'II_21', 'II_18']","['III_10', 'III_7', 'III_17', 'III_14']","['Noble_7', 'Noble_3', 'Noble_6', 'Noble_1', 'Noble_9']","['I_31', 'I_37', 'I_2', 'I_14', 'I_3', 'I_23', 'I_21', 'I_20', 'I_32', 'I_17', 'I_18', 'I_40', 'I_15', 'I_27', 'I_19', 'I_34', 'I_13', 'I_29', 'I_8', 'I_9', 'I_38', 'I_22', 'I_26', 'I_6', 'I_1', 'I_25', 'I_4', 'I_35', 'I_12', 'I_24', 'I_28', 'I_11']","['II_3', 'II_4', 'II_20', 'II_29', 'II_30', 'II_28', 'II_15', 'II_11', 'II_19', 'II_22', 'II_10', 'II_2', 'II_27', 'II_5', 'II_17', 'II_6', 'II_7', 'II_14', 'II_1', 'II_25', 'II_16', 'II_26', 'II_13', 'II_24', 'II_9', 'II_12']","['III_5', 'III_1', 'III_11', 'III_6', 'III_19', 'III_4', 'III_18', 'III_16', 'III_3', 'III_15', 'III_2', 'III_8', 'III_9', 'III_12']","['Noble_5', 'Noble_4', 'Noble_8', 'Noble_10', 'Noble_2']",1,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 0}",['I_7'],[],['I_16'],0,"{'red': 1, 'blue': 2, 'green': 2, 'white': 2, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['I_33'],[],[],0,"{'red': 1, 'blue': 2, 'green': 1, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['I_36'],[],[],0,"{'red': 5, 'blue': 0, 'green': 0, 'white': 1, 'black': 1, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0}",[],[],"['III_13', 'III_20']",5
"{'red': 4, 'blue': 4, 'green': 7, 'white': 3, 'black': 5, 'auto_color': 3}","['I_39', 'I_30', 'I_5', 'I_37']","['II_8', 'II_23', 'II_21', 'II_18']","['III_10', 'III_7', 'III_17', 'III_14']","['Noble_7', 'Noble_3', 'Noble_6', 'Noble_1', 'Noble_9']","['I_2', 'I_14', 'I_3', 'I_23', 'I_21', 'I_20', 'I_32', 'I_17', 'I_18', 'I_40', 'I_15', 'I_27', 'I_19', 'I_34', 'I_13', 'I_29', 'I_8', 'I_9', 'I_38', 'I_22', 'I_26', 'I_6', 'I_1', 'I_25', 'I_4', 'I_35', 'I_12', 'I_24', 'I_28', 'I_11']","['II_3', 'II_4', 'II_20', 'II_29', 'II_30', 'II_28', 'II_15', 'II_11', 'II_19', 'II_22', 'II_10', 'II_2', 'II_27', 'II_5', 'II_17', 'II_6', 'II_7', 'II_14', 'II_1', 'II_25', 'II_16', 'II_26', 'II_13', 'II_24', 'II_9', 'II_12']","['III_5', 'III_1', 'III_11', 'III_6', 'III_19', 'III_4', 'III_18', 'III_16', 'III_3', 'III_15', 'III_2', 'III_8', 'III_9', 'III_12']","['Noble_5', 'Noble_4', 'Noble_8', 'Noble_10', 'Noble_2']",1,"{'red': 2, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 2}","{'red': 0, 'blue': 0, 'green': 1, 'white': 0, 'black': 0}",['I_7'],[],['I_16'],0,"{'red': 1, 'blue': 2, 'green': 0, 'white': 2, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 1}","['I_33', 'I_10']",[],[],0,"{'red': 0, 'blue': 1, 'green': 0, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 1}","['I_36', 'I_31']",[],[],4,"{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 1, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['III_20'],[],['III_13'],6
"{'red': 5, 'blue': 4, 'green': 4, 'white': 3, 'black': 2, 'auto_color': 5}","['I_39', 'I_30', 'I_5', 'I_37']","['II_8', 'II_23', 'II_21', 'II_18']","['III_10', 'III_7', 'III_17', 'III_14']","['Noble_7', 'Noble_3', 'Noble_6', 'Noble_1', 'Noble_9']","['I_2', 'I_14', 'I_3', 'I_23', 'I_21', 'I_20', 'I_32', 'I_17', 'I_18', 'I_40', 'I_15', 'I_27', 'I_19', 'I_34', 'I_13', 'I_29', 'I_8', 'I_9', 'I_38', 'I_22', 'I_26', 'I_6', 'I_1', 'I_25', 'I_4', 'I_35', 'I_12', 'I_24', 'I_28', 'I_11']","['II_3', 'II_4', 'II_20', 'II_29', 'II_30', 'II_28', 'II_15', 'II_11', 'II_19', 'II_22', 'II_10', 'II_2', 'II_27', 'II_5', 'II_17', 'II_6', 'II_7', 'II_14', 'II_1', 'II_25', 'II_16', 'II_26', 'II_13', 'II_24', 'II_9', 'II_12']","['III_5', 'III_1', 'III_11', 'III_6', 'III_19', 'III_4', 'III_18', 'III_16', 'III_3', 'III_15', 'III_2', 'III_8', 'III_9', 'III_12']","['Noble_5', 'Noble_4', 'Noble_8', 'Noble_10', 'Noble_2']",2,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 1, 'white': 0, 'black': 0}","['I_7', 'I_16']",[],[],0,"{'red': 2, 'blue': 2, 'green': 1, 'white': 2, 'black': 2, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 0, 'black': 1}","['I_33', 'I_10']",[],[],0,"{'red': 0, 'blue': 1, 'green': 2, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 1}","['I_36', 'I_31']",[],[],4,"{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 3, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['III_20'],[],['III_13'],7
"{'red': 7, 'blue': 4, 'green': 2, 'white': 5, 'black': 2, 'auto_color': 4}","['I_39', 'I_30', 'I_5', 'I_37']","['II_4', 'II_23', 'II_21', 'II_3']","['III_10', 'III_7', 'III_17', 'III_14']","['Noble_7', 'Noble_3', 'Noble_6', 'Noble_1', 'Noble_9']","['I_2', 'I_14', 'I_3', 'I_23', 'I_21', 'I_20', 'I_32', 'I_17', 'I_18', 'I_40', 'I_15', 'I_27', 'I_19', 'I_34', 'I_13', 'I_29', 'I_8', 'I_9', 'I_38', 'I_22', 'I_26', 'I_6', 'I_1', 'I_25', 'I_4', 'I_35', 'I_12', 'I_24', 'I_28', 'I_11']","['II_20', 'II_29', 'II_30', 'II_28', 'II_15', 'II_11', 'II_19', 'II_22', 'II_10', 'II_2', 'II_27', 'II_5', 'II_17', 'II_6', 'II_7', 'II_14', 'II_1', 'II_25', 'II_16', 'II_26', 'II_13', 'II_24', 'II_9', 'II_12']","['III_5', 'III_1', 'III_11', 'III_6', 'III_19', 'III_4', 'III_18', 'III_16', 'III_3', 'III_15', 'III_2', 'III_8', 'III_9', 'III_12']","['Noble_5', 'Noble_4', 'Noble_8', 'Noble_10', 'Noble_2']",2,"{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 0, 'auto_color': 1}","{'red': 0, 'blue': 1, 'green': 1, 'white': 0, 'black': 0}","['I_7', 'I_16']",[],['II_8'],1,"{'red': 0, 'blue': 2, 'green': 1, 'white': 0, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 1, 'green': 0, 'white': 0, 'black': 1}","['I_33', 'I_10', 'II_18']",[],[],0,"{'red': 0, 'blue': 1, 'green': 4, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 1}","['I_36', 'I_31']",[],[],4,"{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 5, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['III_20'],[],['III_13'],8
"{'red': 5, 'blue': 3, 'green': 5, 'white': 1, 'black': 1, 'auto_color': 4}","['I_39', 'I_30', 'I_5', 'I_2']","['II_4', 'II_23', 'II_21', 'II_3']","['III_10', 'III_7', 'III_17', 'III_14']","['Noble_7', 'Noble_3', 'Noble_6', 'Noble_1', 'Noble_9']","['I_14', 'I_3', 'I_23', 'I_21', 'I_20', 'I_32', 'I_17', 'I_18', 'I_40', 'I_15', 'I_27', 'I_19', 'I_34', 'I_13', 'I_29', 'I_8', 'I_9', 'I_38', 'I_22', 'I_26', 'I_6', 'I_1', 'I_25', 'I_4', 'I_35', 'I_12', 'I_24', 'I_28', 'I_11']","['II_20', 'II_29', 'II_30', 'II_28', 'II_15', 'II_11', 'II_19', 'II_22', 'II_10', 'II_2', 'II_27', 'II_5', 'II_17', 'II_6', 'II_7', 'II_14', 'II_1', 'II_25', 'II_16', 'II_26', 'II_13', 'II_24', 'II_9', 'II_12']","['III_5', 'III_1', 'III_11', 'III_6', 'III_19', 'III_4', 'III_18', 'III_16', 'III_3', 'III_15', 'III_2', 'III_8', 'III_9', 'III_12']","['Noble_5', 'Noble_4', 'Noble_8', 'Noble_10', 'Noble_2']",2,"{'red': 1, 'blue': 0, 'green': 0, 'white': 1, 'black': 1, 'auto_color': 1}","{'red': 0, 'blue': 1, 'green': 1, 'white': 0, 'black': 0}","['I_7', 'I_16']",[],['II_8'],1,"{'red': 1, 'blue': 3, 'green': 1, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 1, 'green': 0, 'white': 0, 'black': 1}","['I_33', 'I_10', 'II_18']",[],[],0,"{'red': 0, 'blue': 1, 'green': 1, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 1, 'black': 2}","['I_36', 'I_31', 'I_37']",[],[],4,"{'red': 0, 'blue': 0, 'green': 0, 'white': 3, 'black': 5, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['III_20'],[],['III_13'],9
"{'red': 6, 'blue': 3, 'green': 4, 'white': 1, 'black': 0, 'auto_color': 3}","['I_39', 'I_3', 'I_5', 'I_2']","['II_20', 'II_23', 'II_21', 'II_3']","['III_10', 'III_7', 'III_17', 'III_14']","['Noble_7', 'Noble_3', 'Noble_6', 'Noble_1', 'Noble_9']","['I_23', 'I_21', 'I_20', 'I_32', 'I_17', 'I_18', 'I_40', 'I_15', 'I_27', 'I_19', 'I_34', 'I_13', 'I_29', 'I_8', 'I_9', 'I_38', 'I_22', 'I_26', 'I_6', 'I_1', 'I_25', 'I_4', 'I_35', 'I_12', 'I_24', 'I_28', 'I_11']","['II_29', 'II_30', 'II_28', 'II_15', 'II_11', 'II_19', 'II_22', 'II_10', 'II_2', 'II_27', 'II_5', 'II_17', 'II_6', 'II_7', 'II_14', 'II_1', 'II_25', 'II_16', 'II_26', 'II_13', 'II_24', 'II_9', 'II_12']","['III_5', 'III_1', 'III_11', 'III_6', 'III_19', 'III_4', 'III_18', 'III_16', 'III_3', 'III_15', 'III_2', 'III_8', 'III_9', 'III_12']","['Noble_5', 'Noble_4', 'Noble_8', 'Noble_10', 'Noble_2']",2,"{'red': 1, 'blue': 0, 'green': 0, 'white': 1, 'black': 1, 'auto_color': 2}","{'red': 0, 'blue': 1, 'green': 1, 'white': 0, 'black': 0}","['I_7', 'I_16']",[],"['II_8', 'II_4']",1,"{'red': 0, 'blue': 3, 'green': 1, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 1, 'blue': 1, 'green': 0, 'white': 1, 'black': 1}","['I_33', 'I_10', 'II_18', 'I_30']",[],[],0,"{'red': 0, 'blue': 1, 'green': 1, 'white': 1, 'black': 0, 'auto_color': 0}","{'red': 0, 'blue': 1, 'green': 0, 'white': 1, 'black': 2}","['I_36', 'I_31', 'I_37', 'I_14']",[],[],4,"{'red': 0, 'blue': 0, 'green': 1, 'white': 3, 'black': 6, 'auto_color': 0}","{'red': 0, 'blue': 0, 'green': 0, 'white': 0, 'black': 1}",['III_20'],[],['III_13'],10
